Question,Answers,Comment,Instructions,Render as
"押すとへこむ__浮腫__ができた。
むくむこと。また、むくんだもの。顔や手足などの末端が体内の水分により痛みを伴わない形で腫れる症候。",ふしゅ,むくむこと。また、むくんだもの。顔や手足などの末端が体内の水分により痛みを伴わない形で腫れる症候。,読み方をご入力ください (音),Text
"会議の進行が__捗捗__しくない。
物事が順調に進んでいる。望みどおりの方向にいっている。",はかばか,物事が順調に進んでいる。望みどおりの方向にいっている。,読み方をご入力ください (訓),Text
"__瓦石__同様の扱いだ。
かわらと石。価値のないもののたとえ。",がせき,かわらと石。価値のないもののたとえ。,読み方をご入力ください (音),Text
"いつまでも__末梢__のことにこだわるな。
物のはし。末端。転じて、取るに足らないこと。",まっしょう,物のはし。末端。転じて、取るに足らないこと。,読み方をご入力ください (音),Text
"仏前に__膝行__して合掌する。
神前や貴人の前などでひざまずき、ひざがしらをついて進退すること。",しっこう,神前や貴人の前などでひざまずき、ひざがしらをついて進退すること。,読み方をご入力ください (音),Text
"__粥腹__で力が出ない。
粥を食べただけの腹。力が十分に入らない状態をいう。",かゆばら,粥を食べただけの腹。力が十分に入らない状態をいう。,読み方をご入力ください (訓),Text
"__籾__を蔵に貯える。
外皮を取り除いてない米。稲の穂からとったままで、脱穀していない米。",もみ,外皮を取り除いてない米。稲の穂からとったままで、脱穀していない米。,読み方をご入力ください (訓),Text
"まさに__釜中__の魚の状態だ。
かまの中。",ふちゅう,かまの中。,読み方をご入力ください (音),Text
"今更__詫__び言をいっても仕方ない。
自分の非を認めて、相手の許しを請う。あやまる。",わ,自分の非を認めて、相手の許しを請う。あやまる。,読み方をご入力ください (訓),Text
"__補綴__して完全を期す君。
破れなどを繕いつづること。転じて手を加えて不足などを補い、よくすること。","ほてい,ほてつ",破れなどを繕いつづること。転じて手を加えて不足などを補い、よくすること。,読み方をご入力ください (音),Text
"__厨__で忙しく立ち働く。
食物を調理する場所。台所。",くりや,食物を調理する場所。台所。,読み方をご入力ください (訓),Text
"曾祖母の__椿寿__を喜ぶ。
長生きすること。長寿。",ちんじゅ,長生きすること。長寿。,読み方をご入力ください (音),Text
"花見に__託__けて酒を飲む。
直接には関係しない他の事と無理に結びつけて、都合のよい口実にする。他の物事のせいにする。",かこつ,直接には関係しない他の事と無理に結びつけて、都合のよい口実にする。他の物事のせいにする。,読み方をご入力ください (訓),Text
"__昂然__たる口振りで答えた。
意気の盛んなさま。自信に満ちて誇らしげなさま。",こうぜん,意気の盛んなさま。自信に満ちて誇らしげなさま。,読み方をご入力ください (音),Text
"__鯉濃__の味は忘れられない。
鯉を筒切りにして、味噌汁で時間をかけて煮込んだ料理。",こいこく,鯉を筒切りにして、味噌汁で時間をかけて煮込んだ料理。,読み方をご入力ください (訓),Text
"__烹__て固めるわけにもいかない。
「煮る」意。",に,「煮る」意。,読み方をご入力ください (訓),Text
"庭木の__揃刈__を依頼した。
切りそろえること。",せんがい,切りそろえること。,読み方をご入力ください (音),Text
"__弥縫__策は失敗した。
失敗や欠点を一時的にとりつくろうこと。",びほう,失敗や欠点を一時的にとりつくろうこと。,読み方をご入力ください (音),Text
"部屋の隅に__衣桁__を置く。
室内で衣類などを掛けておく道具。",いこう,室内で衣類などを掛けておく道具。,読み方をご入力ください (音),Text
"__鐙__に足を掛けて跨がった。
馬具の一種。鞍(くら)の両側に吊下げて、乗る人が足を掛けるもの。",あぶみ,馬具の一種。鞍(くら)の両側に吊下げて、乗る人が足を掛けるもの。,読み方をご入力ください (訓),Text
"危うく__兇刃__に倒れるところだった。
人を殺傷するために用いる刃物。",きょうじん,人を殺傷するために用いる刃物。,読み方をご入力ください (音),Text
"議事進行を__掌__っている。
職務・任務として取り扱う。役目としてそのことに当たる。司る。",つかさど,職務・任務として取り扱う。役目としてそのことに当たる。司る。,読み方をご入力ください (訓),Text
"過去の足跡を__辿__る。
道を探りながら行くさま。迷い迷い進むさま。",たど,道を探りながら行くさま。迷い迷い進むさま。,読み方をご入力ください (訓),Text
"__書笈__を背負って師に従った。
書物を入れて背負って運ぶための箱。",しょきゅう,書物を入れて背負って運ぶための箱。,読み方をご入力ください (音),Text
"金の目方を__秤量__する。
はかりにかけて、重量をはかること。転じて、事物の多少・軽重などを考え合わせること。","しょうりょう,ひょうりょう",はかりにかけて、重量をはかること。転じて、事物の多少・軽重などを考え合わせること。,読み方をご入力ください (音),Text
"遊学中の__零__れ話を聞く。
漏れ落ちること。あふれ出ること。また、そのもの。",こぼ,漏れ落ちること。あふれ出ること。また、そのもの。,読み方をご入力ください (訓),Text
"__宛__も戦場の光景を思わせる。
非常によく似ているさま。まるで。さながら。",あたか,非常によく似ているさま。まるで。さながら。,読み方をご入力ください (訓),Text
"__簾__で部屋を仕切る。
細く割った竹やアシなどを横に並べ、糸で編み連ねたもの。部屋の隔てや日よけ・目隠しなどに掛けて垂らす。","すだれ,す",細く割った竹やアシなどを横に並べ、糸で編み連ねたもの。部屋の隔てや日よけ・目隠しなどに掛けて垂らす。,読み方をご入力ください (訓),Text
"自らの__樗材__たることを恥じる。
役に立たない材木。役に立たない才能や人材。",ちょざい,役に立たない材木。役に立たない才能や人材。,読み方をご入力ください (音),Text
"理に__蒙__い人々が多い。
上からおおわれてくらい。道理がわからない。",くら,上からおおわれてくらい。道理がわからない。,読み方をご入力ください (訓),Text
"__咽__ぶような風の音がする。
飲食物をのどに詰まらせたり、煙を吸い込んだりして、息苦しくなる。また、そのようになってせきこむ。",むせ,飲食物をのどに詰まらせたり、煙を吸い込んだりして、息苦しくなる。また、そのようになってせきこむ。,読み方をご入力ください (訓),Text
"__廓__の面影を今に残す。
城やとりでの、周囲を土や石などで築き巡らしてある囲い。女屋の集まっている地域。",くるわ,城やとりでの、周囲を土や石などで築き巡らしてある囲い。女屋の集まっている地域。,読み方をご入力ください (訓),Text
"__好好爺__ということばが似合う。
気のいいおじいさん。善意にあふれた老人。",こうこうや,気のいいおじいさん。善意にあふれた老人。,読み方をご入力ください (音),Text
"漢方薬に__熊胆__を用いる。
熊の胆嚢(たんのう)を胆汁をとらずに干したもの。苦みが強く、健胃薬・気つけ薬などに用いる。",ゆうたん,熊の胆嚢(たんのう)を胆汁をとらずに干したもの。苦みが強く、健胃薬・気つけ薬などに用いる。,読み方をご入力ください (音),Text
"__鬱勃__と意欲が湧いてきた。
内にこもっていた意気が高まって外にあふれ出ようとするさま。また、意気が盛んなさま。",うつぼつ,内にこもっていた意気が高まって外にあふれ出ようとするさま。また、意気が盛んなさま。,読み方をご入力ください (音),Text
"__宛転__として大河は下る。
言葉・声などがよどみなく、なめらかに発せられるさま。",えんてん,言葉・声などがよどみなく、なめらかに発せられるさま。,読み方をご入力ください (音),Text
"__僻__った考えは捨てるべきだ。
中心からずれている。一方に寄る。また、不公平である。",かたよ,中心からずれている。一方に寄る。また、不公平である。,読み方をご入力ください (訓),Text
"災害で全てが__烏有__に帰した。
全くないこと。何も存在しないこと。",うゆう,全くないこと。何も存在しないこと。,読み方をご入力ください (音),Text
"神の__苑__に入った思いがする。
果樹・花・野菜などを植えた一区画の土地。庭園。",その,果樹・花・野菜などを植えた一区画の土地。庭園。,読み方をご入力ください (訓),Text
"__遜__ったものの言い方をする人だ。
相手を敬って自分を控えめにする。謙遜(けんそん)する。",へりくだ,相手を敬って自分を控えめにする。謙遜(けんそん)する。,読み方をご入力ください (訓),Text
"万死を__矛戟__の下に免れる。
ほこ。",ぼうげき,ほこ。,読み方をご入力ください (音),Text
"冬至の日に__柚湯__をたてる。
冬至の日、ユズの実を入れて沸かす風呂。",ゆずゆ,冬至の日、ユズの実を入れて沸かす風呂。,読み方をご入力ください (訓),Text
"細流__湊__まって大河を成す。
「集まる」意。",あつ,「集まる」意。,読み方をご入力ください (訓),Text
"未だ以て我が先王を__戚__えしむ可からず。
心を悩ます。心を痛めて心配する。思い煩う。",うれ,心を悩ます。心を痛めて心配する。思い煩う。,読み方をご入力ください (訓),Text
"逐一__倭訓__が付されている。
漢字・漢語に和語を当てて読むこと。",わくん,漢字・漢語に和語を当てて読むこと。,読み方をご入力ください (音),Text
"__栂__は堅い材質である。
マツ科ツガ属に分類される常緑性の針葉樹。","つが,とが",マツ科ツガ属に分類される常緑性の針葉樹。,読み方をご入力ください (訓),Text
"__羅__を脱ぐ季節になった。
捩織で織られた、薄く透き通る絹織物。","うすぎぬ,うすもの",捩織で織られた、薄く透き通る絹織物。,読み方をご入力ください (訓),Text
"夕空が__茜__色に染まっている。
「茜色」はアカネの根で染めた色。沈んだ黄赤色。",あかね,「茜色」はアカネの根で染めた色。沈んだ黄赤色。,読み方をご入力ください (訓),Text
"深山で__打打__と木を伐っている。
かん高い音が続いて響くさまを表す語。",ちょうちょう,かん高い音が続いて響くさまを表す語。,読み方をご入力ください (音),Text
"__瑞瑞__しい感覚の詩。
光沢があって若々しい。また、新鮮で生気がある。",みずみず,光沢があって若々しい。また、新鮮で生気がある。,読み方をご入力ください (訓),Text
"丁寧に手紙を__認__めました。
文章を書き記す。",したた,文章を書き記す。,読み方をご入力ください (訓),Text
"__欽慕__の念を抱いている。
敬いしたうこと。敬慕。",きんぼ,敬いしたうこと。敬慕。,読み方をご入力ください (音),Text
"荷台に__幌__をかける。
風雨・日光・ほこりなどを防ぐために車にかけるおおい。",ほろ,風雨・日光・ほこりなどを防ぐために車にかけるおおい。,読み方をご入力ください (訓),Text
"舗道に霧が__澱__んでいる。
水や空気などが流れずにとまって動かない。",よど,水や空気などが流れずにとまって動かない。,読み方をご入力ください (訓),Text
"__叩頭__して非礼を詫びる。
頭を地につけておじぎをすること。",こうとう,頭を地につけておじぎをすること。,読み方をご入力ください (音),Text
"身辺たちまち__常闇__となった。
永久に暗闇であること。永遠の闇。",とこやみ,永久に暗闇であること。永遠の闇。,読み方をご入力ください (訓),Text
"__犀利__な論理を展開する。
文章の勢いや頭の働きが鋭いこと。また、真実を鋭くついているさま。才知が鋭く、物を見る目が正確であるさま。",さいり,文章の勢いや頭の働きが鋭いこと。また、真実を鋭くついているさま。才知が鋭く、物を見る目が正確であるさま。,読み方をご入力ください (音),Text
"__庇__を貸して母屋を取られる。
建物の窓・出入り口・縁側などの上部に張り出す片流れの小屋根。軒 (のき) 。",ひさし,建物の窓・出入り口・縁側などの上部に張り出す片流れの小屋根。軒 (のき) 。,読み方をご入力ください (訓),Text
"茶室は__茅葺__きで風情がある。
茅を材料にして葺く家屋の屋根の構造の一つで、茅葺き屋根ともいう。",かやぶ,茅を材料にして葺く家屋の屋根の構造の一つで、茅葺き屋根ともいう。,読み方をご入力ください (訓),Text
"__閤下__の容体を案ずる。
貴人に対する敬称。閣下(かっか)。",こうか,貴人に対する敬称。閣下(かっか)。,読み方をご入力ください (音),Text
"この土地に__馴化__した作物だ。
生物が、異なった環境、特に気候の異なった土地に移された場合、しだいにその環境に適応するような体質に変わること。",じゅんか,生物が、異なった環境、特に気候の異なった土地に移された場合、しだいにその環境に適応するような体質に変わること。,読み方をご入力ください (音),Text
"駄菓子や文具を__粥__いでいる。
売る。あきなう。",ひさ,売る。あきなう。,読み方をご入力ください (訓),Text
"__鋤鍬__を捨てて国事に赴く。
すきと、くわ。農具のこと。",すきくわ,すきと、くわ。農具のこと。,読み方をご入力ください (訓),Text
"__薙髪__して世俗を遁れた。
髪を切ること。髪をそり落とすこと。",ちはつ,髪を切ること。髪をそり落とすこと。,読み方をご入力ください (音),Text
"__孝悌__の道に適っている。
父母に孝行で、兄によくしたがうこと。",こうてい,父母に孝行で、兄によくしたがうこと。,読み方をご入力ください (音),Text
"労を__厭__い安きをむさぼる。
嫌って避ける。嫌がる。",いと,嫌って避ける。嫌がる。,読み方をご入力ください (訓),Text
"何卒ご__諒恕__お願いいたします。
相手の立場や事情を思いやってゆるすこと。",りょうじょ,相手の立場や事情を思いやってゆるすこと。,読み方をご入力ください (音),Text
"機械は__轟音__をたてて動き始めた。
とどろきわたる音。大きく鳴り響く音。",ごうおん,とどろきわたる音。大きく鳴り響く音。,読み方をご入力ください (音),Text
"__庚寅__の年に起筆した。
子:し 丑:ちゅう 寅:いん 卯:ぼう 辰:しん 巳:し 午:ご 未:び 申:しん 酉:ゆう 戌:じゅつ 亥:がい 甲:こう 乙:おつ 丙:へい 丁:てい 戊:ぼ 己:き 庚:こう 辛:しん 壬:じん 癸:き",こういん,子:し 丑:ちゅう 寅:いん 卯:ぼう 辰:しん 巳:し 午:ご 未:び 申:しん 酉:ゆう 戌:じゅつ 亥:がい 甲:こう 乙:おつ 丙:へい 丁:てい 戊:ぼ 己:き 庚:こう 辛:しん 壬:じん 癸:き,読み方をご入力ください (音),Text
"汚職に対して__鉄槌__を下す。
大形のかなづち。比喩的に、きびしい訓戒・命令・制裁。",てっつい,大形のかなづち。比喩的に、きびしい訓戒・命令・制裁。,読み方をご入力ください (音),Text
"__悉__く図に当たった。
あのことも、このこともすべて。あるもの全部。",ことごと,あのことも、このこともすべて。あるもの全部。,読み方をご入力ください (訓),Text
"凶作に備えて__稲粟__を蓄蔵する。
米とあわ。",とうぞく,米とあわ。,読み方をご入力ください (音),Text
"長寿の祖母に__肖__りたいものだ。
影響を受けて同様の状態になる。感化されてそれと同じようになる。",あやか,影響を受けて同様の状態になる。感化されてそれと同じようになる。,読み方をご入力ください (訓),Text
"版画を__摺__りあげました。
活版・版木などの面にインク・絵の具などをつけて、紙を当てて文字や絵を写し取る。",す,活版・版木などの面にインク・絵の具などをつけて、紙を当てて文字や絵を写し取る。,読み方をご入力ください (訓),Text
"__友誼__に厚く、言行一致の人だ。
友達として相手を温かく思いやる気持ち。",ゆうぎ,友達として相手を温かく思いやる気持ち。,読み方をご入力ください (音),Text
"__適__旧友に出会った。
時おり。時たま。たまに。",たまたま,時おり。時たま。たまに。,読み方をご入力ください (訓),Text
"珍味__佳肴__の味を知った。
うまい、酒のさかな。よい料理。",かこう,うまい、酒のさかな。よい料理。,読み方をご入力ください (音),Text
"神仏を__崇__める家だ。
きわめて尊いものとして敬う。崇敬する。",あが,きわめて尊いものとして敬う。崇敬する。,読み方をご入力ください (訓),Text
"観客は五万に__垂__とした。
「垂んとする」は、その状態になろうとしている意。",なんなん,「垂んとする」は、その状態になろうとしている意。,読み方をご入力ください (訓),Text
"__冥加__にあまる幸いを授かった。
好運であること。",みょうが,好運であること。,読み方をご入力ください (音),Text
"来年は__閏月__がある。
閏にあたる月。陰暦で、12か月のほかに付け加える月。",うるうづき,閏にあたる月。陰暦で、12か月のほかに付け加える月。,読み方をご入力ください (訓),Text
"__錘__をなくし、つりにならない。
釣りの仕掛けを沈めるために付ける鉛。",おもり,釣りの仕掛けを沈めるために付ける鉛。,読み方をご入力ください (訓),Text
"遠くから__残蝉__の声が聞こえる。
秋まで生き残っている蝉。",ざんせん,秋まで生き残っている蝉。,読み方をご入力ください (音),Text
"今年も__標__の内が過ぎてしまつた。
「標の内」は、正月の松飾りを立てておく期間。松の内。",しめ,「標の内」は、正月の松飾りを立てておく期間。松の内。,読み方をご入力ください (訓),Text
"__啞然__として言葉もでない。
予想もしなかった事態に驚きあきれてものも言えないさま。",あぜん,予想もしなかった事態に驚きあきれてものも言えないさま。,読み方をご入力ください (音),Text
"__乃父__から言って聞かせることがある。
父が、子に対して自分をいう語。他人の父。また一般に、父。",だいふ,父が、子に対して自分をいう語。他人の父。また一般に、父。,読み方をご入力ください (音),Text
"遠慮のないご__叱正__をお願いします。
他人の書いた文章の欠点などを遠慮なく指摘して訂正させること。",しっせい,他人の書いた文章の欠点などを遠慮なく指摘して訂正させること。,読み方をご入力ください (音),Text
"論文の参考資科を__塡足__する。
足りないところをうめること。不足を補うこと。",てんそく,足りないところをうめること。不足を補うこと。,読み方をご入力ください (音),Text
"__穆__として清風の如き人だ。
おだやかで､つつしみ深い｡ていねいな。",ぼく,おだやかで､つつしみ深い｡ていねいな。,読み方をご入力ください (音),Text
"よく__査__べて提出する。
探って明らかにする。調査する。",しら,探って明らかにする。調査する。,読み方をご入力ください (訓),Text
"__桑梓__二木を子孫に遣す。
父母を敬い、ふるさとを思うこと。転じて、ふるさと。",そうし,父母を敬い、ふるさとを思うこと。転じて、ふるさと。,読み方をご入力ください (音),Text
"勝利の__凱__を聞く。
戦いに勝ったとき、一斉にあげる喜びの叫び声。鬨(とき)の声。",かちどき,戦いに勝ったとき、一斉にあげる喜びの叫び声。鬨(とき)の声。,読み方をご入力ください (訓),Text
"__菰__を着て身を隠した。
マコモを粗く編んだむしろ。現在は多く、わらを用いる。",こも,マコモを粗く編んだむしろ。現在は多く、わらを用いる。,読み方をご入力ください (訓),Text
"__錫杖__を鳴らして修験者が行く。
僧・修験者が持ち歩く杖。杖の頭に鐶（かん）が掛けてあり、杖を突くと鳴る。",しゃくじょう,僧・修験者が持ち歩く杖。杖の頭に鐶（かん）が掛けてあり、杖を突くと鳴る。,読み方をご入力ください (音),Text
"既に__蟹行__鳥跡に倦みたり。
カニのように横に歩くこと。横ばい。",かいこう,カニのように横に歩くこと。横ばい。,読み方をご入力ください (音),Text
"大海の__波濤__を眺める。
大きな波。大波。",はとう,大きな波。大波。,読み方をご入力ください (音),Text
"時を__窺__って雌伏する。
そっとのぞいて見る。そっと様子を見る。",うかが,そっとのぞいて見る。そっと様子を見る。,読み方をご入力ください (訓),Text
"合格の報に__快哉__を叫ぶ。
ああ愉快だと思うこと。胸がすくこと。",かいさい,ああ愉快だと思うこと。胸がすくこと。,読み方をご入力ください (音),Text
"亡者の__怨念__がこもっている。
うらみのこもった思い。うらみに思う気持ち。",おんねん,うらみのこもった思い。うらみに思う気持ち。,読み方をご入力ください (音),Text
"初歩から__階梯__を踏んで学ぶ。
学問・芸術などの手ほどき。また、それを説いた書物。入門書。学問・芸術などを学ぶ段階。",かいてい,学問・芸術などの手ほどき。また、それを説いた書物。入門書。学問・芸術などを学ぶ段階。,読み方をご入力ください (音),Text
"片田舎の__茅屋__に独居する。
草ぶきの屋根の家。みすぼらしい家。あばらや。",ぼうおく,草ぶきの屋根の家。みすぼらしい家。あばらや。,読み方をご入力ください (音),Text
"月光が__冴__え森が光って見える。
寒さが厳しくなる。くっきりと澄む。色が鮮やかである。",さ,寒さが厳しくなる。くっきりと澄む。色が鮮やかである。,読み方をご入力ください (訓),Text
"__妖__かしく科をつくる。
姿やしぐさが色っぽい。",なまめ,姿やしぐさが色っぽい。,読み方をご入力ください (訓),Text
"霊前で弔文を__捧読__する。
目の前に高くささげ持って読むこと。",ほうどく,目の前に高くささげ持って読むこと。,読み方をご入力ください (音),Text
"__井蛙__大海を知らず。
井戸の中にいるカエル。見識の狭いこと、また、その人のたとえ。",せいあ,井戸の中にいるカエル。見識の狭いこと、また、その人のたとえ。,読み方をご入力ください (音),Text
"危岩が__岨__つ山が多い。
山などがかどばって高く立つ。そびえる。",そばだ,山などがかどばって高く立つ。そびえる。,読み方をご入力ください (訓),Text
"リングの上で__凄絶__な試合が展開された。
非常にすさまじいこと。",せいぜつ,非常にすさまじいこと。,読み方をご入力ください (音),Text
"人気ある__花圃__を巡る企面を立てる。
花ばたけ。花ぞの。",かほ,花ばたけ。花ぞの。,読み方をご入力ください (音),Text
"半生を__斯道__に捧げた。
学問や技芸などで、この道、この分野。",しどう,学問や技芸などで、この道、この分野。,読み方をご入力ください (音),Text
"__舷__から沈む夕日を見た。
船の両側面。ふなべり。","ふなばた,ふなべり",船の両側面。ふなべり。,読み方をご入力ください (訓),Text
"家々から__砧声__が響く。
きぬたを打つ音。",ちんせい,きぬたを打つ音。,読み方をご入力ください (音),Text
"__姑息__な手段を使う。
一時の間に合わせ。その場しのぎ。",こそく,一時の間に合わせ。その場しのぎ。,読み方をご入力ください (音),Text
"徐々に病魔に__蝕__まれた。
虫が食って形を損なう。むしくいになる。病気などで、からだや精神を少しずつ損なう。",むしば,虫が食って形を損なう。むしくいになる。病気などで、からだや精神を少しずつ損なう。,読み方をご入力ください (訓),Text
"問責されて__弁疏__に窮する。
言いわけをすること。弁解。",べんそ,言いわけをすること。弁解。,読み方をご入力ください (音),Text
"幼児向きの__噺__を作る。
昔話や落語。",はなし,昔話や落語。,読み方をご入力ください (訓),Text
"草むらに__集__く虫の音を聞く。
虫などが集まってにぎやかに鳴く。群れをなして集まる。",すだ,虫などが集まってにぎやかに鳴く。群れをなして集まる。,読み方をご入力ください (訓),Text
"__彼此__の別を明らかにする。
あれとこれと。あちらとこちらと。",ひし,あれとこれと。あちらとこちらと。,読み方をご入力ください (音),Text
"女王の__戴冠__式に列席した。
新国王が、即位のあとに行う戴冠の儀式。",たいかん,新国王が、即位のあとに行う戴冠の儀式。,読み方をご入力ください (音),Text
"戟を亡いて__矛__を得。
両刃の剣に長い柄をつけた大昔の武器。",ほこ,両刃の剣に長い柄をつけた大昔の武器。,読み方をご入力ください (訓),Text
"疑惑を__払拭__する必要がある。
はらいぬぐい去ること。すっかり取り除くこと。","ふっしょく,ふっしき",はらいぬぐい去ること。すっかり取り除くこと。,読み方をご入力ください (音),Text
"執筆に没頭し__戊夜__に至った。
五夜(ごや)の一。およそ今の午前3時または4時から2時間をいう。寅(とら)の刻。",ぼや,五夜(ごや)の一。およそ今の午前3時または4時から2時間をいう。寅(とら)の刻。,読み方をご入力ください (音),Text
"政局を読む__慧眼__には定評がある。
物事の本質を鋭く見抜く力。",けいがん,物事の本質を鋭く見抜く力。,読み方をご入力ください (音),Text
"毛皮のコートを__套__ねる。
外からおおう。かぶせてつつむ。",かさ,外からおおう。かぶせてつつむ。,読み方をご入力ください (訓),Text
"契約書に__捺印__した。
印判をおすこと。また、おした印影。",なついん,印判をおすこと。また、おした印影。,読み方をご入力ください (音),Text
"__托__むことができる相手だ。
「頼む」意。",たの,「頼む」意。,読み方をご入力ください (訓),Text
"沼地に大きな__鰐__が棲んでいる。
ワニ目の爬虫(はちゅう)類の総称。",わに,ワニ目の爬虫(はちゅう)類の総称。,読み方をご入力ください (訓),Text
"大分気分が__解__れてきたようだ。
もつれたり、固まったりしたものがとけはなれる。緊張がとれてやわらぐ。",ほぐ,もつれたり、固まったりしたものがとけはなれる。緊張がとれてやわらぐ。,読み方をご入力ください (訓),Text
"__鮫__小紋の風呂敷で包む。
板鰓(ばんさい)亜綱のうちサメ目に属する軟骨魚類をいう。",さめ,板鰓(ばんさい)亜綱のうちサメ目に属する軟骨魚類をいう。,読み方をご入力ください (訓),Text
"仏像を__厨子__に安置した。
仏像・舎利・経巻を安置する仏具。食物・書籍などを入れる置き棚。",ずし,仏像・舎利・経巻を安置する仏具。食物・書籍などを入れる置き棚。,読み方をご入力ください (音),Text
"心に不安の__漣__が広がる。
細かに立つ波。心の小さな動揺。また、小さな争い・不和。",さざなみ,細かに立つ波。心の小さな動揺。また、小さな争い・不和。,読み方をご入力ください (訓),Text
"道の__阿__に朽ちかけた小屋がある。
曲がって入り込んだ所。物陰になっている暗がり。",くま,曲がって入り込んだ所。物陰になっている暗がり。,読み方をご入力ください (訓),Text
"__店晒__しの案件を論議する。
商品が売れずに長い間店頭に置かれたままになっていること。問題を未解決・未処理のまま、いつまでも放置しておくこと。",たなざら,商品が売れずに長い間店頭に置かれたままになっていること。問題を未解決・未処理のまま、いつまでも放置しておくこと。,読み方をご入力ください (訓),Text
"敵の守備を破り__撞入__する。
突進すること。","とうにゅう,どうにゅう",突進すること。,読み方をご入力ください (音),Text
"論を持して__侃直__なり。
強く正しい様子。",かんちょく,強く正しい様子。,読み方をご入力ください (音),Text
"中国の__朔北__の地を歩いてきた。
北。北方。特に、中国の北方の辺土。",さくほく,北。北方。特に、中国の北方の辺土。,読み方をご入力ください (音),Text
"来る十日の__佳辰__に挙式する。
めでたい日。よい日柄。",かしん,めでたい日。よい日柄。,読み方をご入力ください (音),Text
