Question,Answers,Comment,Instructions,Render as
独逸,ドイツ,,読みを入力してください,Text
赤味,あかみ,,読みを入力してください,Text
呆気，__呆気__ない,あっけ,,読みを入力してください,Text
巴里,パリ,,読みを入力してください,Text
印度,インド,,読みを入力してください,Text
野放図,のほうず,,読みを入力してください,Text
浅黄,あさぎ,,読みを入力してください,Text
瓦斯,ガス,,読みを入力してください,Text
恵比寿,えびす,,読みを入力してください,Text
厨二病,ちゅうにびょう,,読みを入力してください,Text
釦,ボタン,,読みを入力してください,Text
天晴,あっぱれ,,読みを入力してください,Text
村雨,むらさめ,,読みを入力してください,Text
妻君,さいくん,,読みを入力してください,Text
洒落,しゃれ,,読みを入力してください,Text
碌，__碌__な，__碌__に,ろく,,読みを入力してください,Text
木乃伊,ミイラ,,読みを入力してください,Text
更紗,サラサ,,読みを入力してください,Text
切支丹,キリシタン,,読みを入力してください,Text
腕白,わんぱく,,読みを入力してください,Text
見得,みえ,,読みを入力してください,Text
与太,よた,,読みを入力してください,Text
雨合羽,あまガッパ,,読みを入力してください,Text
露西亜,ロシア,,読みを入力してください,Text
付喪神,つくもがみ,,読みを入力してください,Text
苦無,くない,,読みを入力してください,Text
目茶苦茶,めちゃくちゃ,,読みを入力してください,Text
倫敦,ロンドン,,読みを入力してください,Text
基督,キリスト,,読みを入力してください,Text
羅紗,ラシャ,,読みを入力してください,Text
屹度,きっと,,読みを入力してください,Text
煙草屋,タバコや,,読みを入力してください,Text
枚,びら,,読みを入力してください,Text
強味,つよみ,,読みを入力してください,Text
亜米利加,アメリカ,,読みを入力してください,Text
美事,みごと,,読みを入力してください,Text
七面倒，__七面倒__臭い,しちめんどう,,読みを入力してください,Text
基督教,キリストきょう,,読みを入力してください,Text
真逆,まさか,,読みを入力してください,Text
我武者羅,がむしゃら,,読みを入力してください,Text
弥次馬,やじうま,,読みを入力してください,Text
天麩羅,てんぷら,,読みを入力してください,Text
頓珍漢,とんちんかん,,読みを入力してください,Text
羅馬,ローマ,,読みを入力してください,Text
愚連隊,ぐれんたい,,読みを入力してください,Text
愚図愚図,ぐずぐず,,読みを入力してください,Text
哩,マイル,,読みを入力してください,Text
滅茶滅茶,めちゃめちゃ,,読みを入力してください,Text
燐寸,マッチ,,読みを入力してください,Text
西班牙,スペイン,,読みを入力してください,Text
数寄,すき,,読みを入力してください,Text
不貞寝,ふてね,,読みを入力してください,Text
刀自,"とうじ,とじ",,読みを入力してください,Text
欧羅巴,ヨーロッパ,,読みを入力してください,Text
青味,あおみ,,読みを入力してください,Text
伊太利,イタリア,,読みを入力してください,Text
時化,しけ,,読みを入力してください,Text
大喜利,おおぎり,,読みを入力してください,Text
希臘,"ギリシャ, ギリシヤ",,読みを入力してください,Text
矢鱈,やたら,,読みを入力してください,Text
空蝉,うつせみ,,読みを入力してください,Text
仇名,あだな,,読みを入力してください,Text
行衛,ゆくえ,,読みを入力してください,Text
矢来,やらい,,読みを入力してください,Text
英吉利,イギリス,,読みを入力してください,Text
毒味役,どくみやく,,読みを入力してください,Text
細目,ほそめ,,読みを入力してください,Text
亜細亜,アジア,,読みを入力してください,Text
無闇矢鱈,むやみやたら,,読みを入力してください,Text
拠出,きょしゅつ,,読みを入力してください,Text
如雨露,じょうろ,,読みを入力してください,Text
弥次,やじ,,読みを入力してください,Text
弗,ドル,,読みを入力してください,Text
巻煙草,まきタバコ,,読みを入力してください,Text
鑵,かん,,読みを入力してください,Text
雲井,くもい,,読みを入力してください,Text
素寒貧,すかんぴん,,読みを入力してください,Text
枇杷,びわ,,読みを入力してください,Text
夜露死苦,よろしく,,読みを入力してください,Text
不図,ふと,,読みを入力してください,Text
滅茶,めちゃ,,読みを入力してください,Text
糎,サンチ,,読みを入力してください,Text
吋,インチ,,読みを入力してください,Text
介添,かいぞえ,,読みを入力してください,Text
伴天連,バテレン,,読みを入力してください,Text
存知,ぞんじ,,読みを入力してください,Text
黄味,きみ,,読みを入力してください,Text
米,メートル,,読みを入力してください,Text
埃及,エジプト,,読みを入力してください,Text
珈琲豆,コーヒーまめ,,読みを入力してください,Text
護謨,ゴム,,読みを入力してください,Text
住居,すまい,,読みを入力してください,Text
披露目,ひろめ,,読みを入力してください,Text
重味,おもみ,,読みを入力してください,Text
噸,トン,,読みを入力してください,Text
高見,たかみ,,読みを入力してください,Text
恰度,ちょうど,,読みを入力してください,Text
一図,いちず,,読みを入力してください,Text
和蘭,オランダ,,読みを入力してください,Text
詮方,せんかた,,読みを入力してください,Text
辛棒,しんぼう,,読みを入力してください,Text
伯林,ベルリン,,読みを入力してください,Text
浅墓,あさはか,,読みを入力してください,Text
紐育,ニューヨーク,,読みを入力してください,Text
巫山戯,ふざけ,,読みを入力してください,Text
藪医者,やぶいしゃ,,読みを入力してください,Text
地下足袋,じかたび,,読みを入力してください,Text
相子,あいこ,,読みを入力してください,Text
浪漫派,ロマンは,,読みを入力してください,Text
団栗,どんぐり,,読みを入力してください,Text
変梃,へんてこ,,読みを入力してください,Text
西比利亜,シベリア,,読みを入力してください,Text
加里,カリ,,読みを入力してください,Text
片,"ペンス,びら",,読みを入力してください,Text
身方,みかた,,読みを入力してください,Text
黒味,くろみ,,読みを入力してください,Text
土百姓,どびゃくしょう,,読みを入力してください,Text
浪漫主義,ロマンしゅぎ,,読みを入力してください,Text
歌留多,カルタ,,読みを入力してください,Text
鳥渡,ちょっと,,読みを入力してください,Text
本真,ほんま,,読みを入力してください,Text
太目,ふとめ,,読みを入力してください,Text
修斗,しゅうと,,読みを入力してください,Text
弥撒,ミサ,,読みを入力してください,Text
浪漫的,ロマンてき,,読みを入力してください,Text
阿蘭陀,オランダ,,読みを入力してください,Text
当前,とうぜん,,読みを入力してください,Text
深味,ふかみ,,読みを入力してください,Text
土耳古,トルコ,,読みを入力してください,Text
混凝土,コンクリート,,読みを入力してください,Text
手弱女,たおやめ,,読みを入力してください,Text
厚味,あつみ,,読みを入力してください,Text
裏垢,うらアカ,,読みを入力してください,Text
屯,トン,,読みを入力してください,Text
参覲交代,さんきんこうたい,,読みを入力してください,Text
印度洋,インドよう,,読みを入力してください,Text
罐,かん,,読みを入力してください,Text
白味,しろみ,,読みを入力してください,Text
珊,サンチ,,読みを入力してください,Text
波斯,"ペルシャ,ペルシア,ハルシャ",,読みを入力してください,Text
目茶目茶,めちゃめちゃ,,読みを入力してください,Text
瑞典,"スウェーデン,スエーデン",,読みを入力してください,Text
垢離,こり,,読みを入力してください,Text
愛蘭,アイルランド,,読みを入力してください,Text
瑞西,スイス,,読みを入力してください,Text
滅多矢鱈,めったやたら,,読みを入力してください,Text
低目,ひくめ,,読みを入力してください,Text
和蘭陀,オランダ,,読みを入力してください,Text
金糸雀,カナリア,,読みを入力してください,Text
瓦斯灯,ガスとう,,読みを入力してください,Text
奴原,やつばら,,読みを入力してください,Text
舌平目,したびらめ,,読みを入力してください,Text
蘇格蘭,スコットランド,,読みを入力してください,Text
鈕,ボタン,,読みを入力してください,Text
高目,たかめ,,読みを入力してください,Text
和行,わぎょう,,読みを入力してください,Text
鮒寿司,ふなずし,,読みを入力してください,Text
篦棒,べらぼう,,読みを入力してください,Text
聖林,ハリウッド,,読みを入力してください,Text
穢多,えた,,読みを入力してください,Text
浪曼,ろうまん,,読みを入力してください,Text
大正浪漫,たいしょうろまん,,読みを入力してください,Text
亜剌比亜,アラビア,,読みを入力してください,Text
白耳義,ベルギー,,読みを入力してください,Text
多行,たぎょう,,読みを入力してください,Text
仙,セント,,読みを入力してください,Text
米突,メートル,,読みを入力してください,Text
維納,ウィーン,,読みを入力してください,Text
布哇,ハワイ,,読みを入力してください,Text
参覲,さんきん,,読みを入力してください,Text
箆棒,べらぼう,,読みを入力してください,Text
我楽多,がらくた,,読みを入力してください,Text
鱈腹,たらふく,,読みを入力してください,Text
独乙,ドイツ,,読みを入力してください,Text
葡萄牙,ポルトガル,,読みを入力してください,Text
丁抹,デンマーク,,読みを入力してください,Text
狐狗狸,"こっくり,こくり",,読みを入力してください,Text
嗅煙草,かぎタバコ,,読みを入力してください,Text
加答児,カタル,,読みを入力してください,Text
安目,やすめ,,読みを入力してください,Text
土性骨,どしょうぼね,,読みを入力してください,Text
天婦羅,てんぷら,,読みを入力してください,Text
目茶,めちゃ,,読みを入力してください,Text
治具,ジグ,,読みを入力してください,Text
数奇,すき,,読みを入力してください,Text
悪巫山戯,わるふざけ,,読みを入力してください,Text
葉巻煙草,はまきタバコ,,読みを入力してください,Text
竹篦,"しっぺい,しっぺ",,読みを入力してください,Text
米利堅,メリケン,,読みを入力してください,Text
阿弗利加,アフリカ,,読みを入力してください,Text
加留多,カルタ,,読みを入力してください,Text
朱欒,ざぼん,,読みを入力してください,Text
波蘭,ポーランド,,読みを入力してください,Text
墺太利,オーストリア,,読みを入力してください,Text
瓦落多,がらくた,,読みを入力してください,Text
金雀枝,えにしだ,,読みを入力してください,Text
四十雀,"しじゅうから,しじゅうがら",,読みを入力してください,Text
馬太,マタイ,,読みを入力してください,Text
印度支那,インドシナ,,読みを入力してください,Text
四股名,しこな,,読みを入力してください,Text
天手古舞,てんてこまい,,読みを入力してください,Text
新嘉坡,シンガポール,,読みを入力してください,Text
竹箆,しっぺい,,読みを入力してください,Text
花林糖,かりんとう,,読みを入力してください,Text
東印度,ひがしインド,,読みを入力してください,Text
唐揚,からあげ,,読みを入力してください,Text
玄能,げんのう,,読みを入力してください,Text
皺苦茶,しわくちゃ,,読みを入力してください,Text
莫斯科,モスクワ,,読みを入力してください,Text
巴里祭,パリさい,,読みを入力してください,Text
吉利支丹,キリシタン,,読みを入力してください,Text
儒艮,じゅごん,,読みを入力してください,Text
嗚呼嗚呼,ああああ,,読みを入力してください,Text
希伯来,ヘブライ,,読みを入力してください,Text
軽袗,カルサン,,読みを入力してください,Text
小芥子,こけし,,読みを入力してください,Text
比律賓,フィリピン,,読みを入力してください,Text
喇嘛,らま,,読みを入力してください,Text
甲比丹,カピタン,,読みを入力してください,Text
成吉思汗,ジンギスかん,,読みを入力してください,Text
駄駄,だだ,,読みを入力してください,Text
山袴,さんぱく,,読みを入力してください,Text
金雀児,えにしだ,,読みを入力してください,Text
甲必丹,カピタン,,読みを入力してください,Text
段通,だんつう,,読みを入力してください,Text
有平糖,アルヘイとう,,読みを入力してください,Text
茶利,ちゃり,,読みを入力してください,Text
十露盤,そろばん,,読みを入力してください,Text
白地,あからさま,,読みを入力してください,Text
破茶滅茶,はちゃめちゃ,,読みを入力してください,Text
厚目,あつめ,,読みを入力してください,Text
迂散,うさん,,読みを入力してください,Text
弁柄,べんがら,,読みを入力してください,Text
蘭貢,"ヤンゴン,ラングーン",,読みを入力してください,Text
番重,ばんじゅう,,読みを入力してください,Text
尾籠,おこ,,読みを入力してください,Text
智利,チリ,,読みを入力してください,Text
愛蘭土,アイルランド,,読みを入力してください,Text
西貢,サイゴン,,読みを入力してください,Text
加特力,カトリック,,読みを入力してください,Text
諾威,ノルウェー,,読みを入力してください,Text
本垢,ほんアカ,,読みを入力してください,Text
阿媽,アマ,,読みを入力してください,Text
窒扶斯,チフス,,読みを入力してください,Text
加奈陀,カナダ,,読みを入力してください,Text
墨西哥,メキシコ,,読みを入力してください,Text
詮術,せんすべ,,読みを入力してください,Text
緞通,だんつう,,読みを入力してください,Text
他愛，__他愛__ない,"たわい,たあい",,読みを入力してください,Text
脊広,せびろ,,読みを入力してください,Text
錻力,ブリキ,,読みを入力してください,Text
魯西亜,ロシア,,読みを入力してください,Text
洪牙利,ハンガリー,,読みを入力してください,Text
剣橋,ケンブリッジ,,読みを入力してください,Text
芬蘭,フィンランド,,読みを入力してください,Text
冶具,ジグ,,読みを入力してください,Text
達示,たっし,,読みを入力してください,Text
我利我利,がりがり,,読みを入力してください,Text
虎狼痢,コロリ,,読みを入力してください,Text
逸,いち,,読みを入力してください,Text
錫蘭,セイロン,,読みを入力してください,Text
加農,カノン,,読みを入力してください,Text
日耳曼,ゲルマン,,読みを入力してください,Text
瓦落,がら,,読みを入力してください,Text
亜爾然丁,アルゼンチン,,読みを入力してください,Text
風信子,ふうしんし,,読みを入力してください,Text
土耳其,トルコ,,読みを入力してください,Text
明白,あからさま,,読みを入力してください,Text
丁幾,チンキ,,読みを入力してください,Text
淋巴,リンパ,,読みを入力してください,Text
叱,しっ,,読みを入力してください,Text
仏恥義理,ぶっちぎり,,読みを入力してください,Text
拉丁,ラテン,,読みを入力してください,Text
下卑,げび,,読みを入力してください,Text
虎列剌,コレラ,,読みを入力してください,Text
豆富,とうふ,,読みを入力してください,Text
鍵垢,かぎアカ,,読みを入力してください,Text
頓痴気,とんちき,,読みを入力してください,Text
良行,らぎょう,,読みを入力してください,Text
迷図,メイズ,,読みを入力してください,Text
噛煙草,かみタバコ,,読みを入力してください,Text
羅甸,ラテン,,読みを入力してください,Text
銀名,ギニア,,読みを入力してください,Text
菲沃斯,ひよす,,読みを入力してください,Text
華盛頓,ワシントン,,読みを入力してください,Text
爪哇,ジャワ,,読みを入力してください,Text
煙草畑,タバコばたけ,,読みを入力してください,Text
羅典,ラテン,,読みを入力してください,Text
錻,ブリキ,,読みを入力してください,Text
新加坡,シンガポール,,読みを入力してください,Text
柬埔寨,カンボジア,,読みを入力してください,Text
勝男武士,かつおぶし,,読みを入力してください,Text
珍糞漢糞,ちんぷんかんぷん,,読みを入力してください,Text
建坪率,けんぺいりつ,,読みを入力してください,Text
三十三才,みそさざい,,読みを入力してください,Text
型録,カタログ,,読みを入力してください,Text
飛竜頭,ひりょうず,,読みを入力してください,Text
末行,まぎょう,,読みを入力してください,Text
鉄葉,ブリキ,,読みを入力してください,Text
秘露,ペルー,,読みを入力してください,Text
新約克,ニューヨーク,,読みを入力してください,Text
愛羅武勇,アイラブユー,,読みを入力してください,Text
伯剌西爾,ブラジル,,読みを入力してください,Text
芒果,"マンゴー,マンゴ",,読みを入力してください,Text
土根性,どこんじょう,,読みを入力してください,Text
匈牙利,ハンガリー,,読みを入力してください,Text
新西蘭,ニュージーランド,,読みを入力してください,Text
度田舎,どいなか,,読みを入力してください,Text
亜墨利加,アメリカ,,読みを入力してください,Text
夜呂死苦,よろしく,,読みを入力してください,Text
海地,ハイチ,,読みを入力してください,Text
晩香坡,バンクーバー,,読みを入力してください,Text
軽目,カルメ,,読みを入力してください,Text
羅馬字,ローマじ,,読みを入力してください,Text
素適,すてき,,読みを入力してください,Text
花歌留多,"はなカルタ,はなガルタ",,読みを入力してください,Text
闍婆,ジャワ,,読みを入力してください,Text
五万米,ごまめ,,読みを入力してください,Text
偸閑,あからさま,,読みを入力してください,Text
波行,はぎょう,,読みを入力してください,Text
馬克,マルク,,読みを入力してください,Text
謝文,ざぼん,,読みを入力してください,Text
加密爾列,"カミツレ,カミルレ",,読みを入力してください,Text
虚蝉,うつせみ,,読みを入力してください,Text
羅馬尼亜,ルーマニア,,読みを入力してください,Text
阿行,あぎょう,,読みを入力してください,Text
達頼喇嘛,ダライラマ,,読みを入力してください,Text
瓲,トン,,読みを入力してください,Text
加行,かぎょう,,読みを入力してください,Text
和佐比,わさび,,読みを入力してください,Text
加密列,"カミツレ,カミルレ",,読みを入力してください,Text
久留子,クルス,,読みを入力してください,Text
牛,ぎゅう,,読みを入力してください,Text
留,"ルーブル,ルーブリ",,読みを入力してください,Text
釬,ミル,,読みを入力してください,Text
節,ノット,,読みを入力してください,Text
浬,ノット,,読みを入力してください,Text
打,ダース,,読みを入力してください,Text
急度,きっと,,読みを入力してください,Text
紅殻,べんがら,,読みを入力してください,Text
沃度,ヨード,,読みを入力してください,Text
兄者,あにじゃ,,読みを入力してください,Text
入満,イルマン,,読みを入力してください,Text
片尼,ペニー,,読みを入力してください,Text
発止,はっし,,読みを入力してください,Text
左変,サへん,,読みを入力してください,Text
佐変,サへん,,読みを入力してください,Text
良変,ラへん,,読みを入力してください,Text
奈変,ナへん,,読みを入力してください,Text
加変,カへん,,読みを入力してください,Text
満俺,マンガン,,読みを入力してください,Text
麻行,まぎょう,,読みを入力してください,Text
也行,やぎょう,,読みを入力してください,Text
夜行,やぎょう,,読みを入力してください,Text
羅宇,ラオス,,読みを入力してください,Text
吠舎,"バイシャ, ヴァイシャ",,読みを入力してください,Text
吠陀,ベーダ,,読みを入力してください,Text
連玉,れだま,,読みを入力してください,Text
米噸,べいトン,,読みを入力してください,Text
軽衫,カルサン,,読みを入力してください,Text
笈多,グプタ,,読みを入力してください,Text
珍陀,チンタ,,読みを入力してください,Text
転合,てんごう,,読みを入力してください,Text
転業,てんごう,,読みを入力してください,Text
規那,キナ,,読みを入力してください,Text
特亜,とくア,,読みを入力してください,Text
熱目,あつめ,,読みを入力してください,Text
坂豚,サカぶた,,読みを入力してください,Text
蘇丹,スーダン,,読みを入力してください,Text
噸税,トンぜい,,読みを入力してください,Text
舎密,セイミ,,読みを入力してください,Text
叱叱,しっしっ,,読みを入力してください,Text
別垢,べつアカ,,読みを入力してください,Text
姉者,あねじゃ,,読みを入力してください,Text
大臼,ダイウス,,読みを入力してください,Text
嬪夫,ピンプ,,読みを入力してください,Text
炉利,ロリ,,読みを入力してください,Text
奈行,なぎょう,,読みを入力してください,Text
母者,"ははじゃ,はわじゃ",,読みを入力してください,Text
尾季,びき,,読みを入力してください,Text
旃那,センナ,,読みを入力してください,Text
波宇,"パオ,パウ,ハウ",,読みを入力してください,Text
複垢,ふくアカ,,読みを入力してください,Text
闇垢,やみアカ,,読みを入力してください,Text
海牙,ハーグ,,読みを入力してください,Text
呂宋,ルソン,,読みを入力してください,Text
馬来,"マレー,マライ",,読みを入力してください,Text
副垢,ふくアカ,,読みを入力してください,Text
浅目,あさめ,,読みを入力してください,Text
印支,インシ,,読みを入力してください,Text
湾処,わんど,,読みを入力してください,Text
無下,むげ,,読みを入力してください,Text
丑満,うしみつ,,読みを入力してください,Text
伊蘭,イラン,,読みを入力してください,Text
玖馬,キューバ,,読みを入力してください,Text
不斗,ふと,,読みを入力してください,Text
仏噸,ふつトン,,読みを入力してください,Text
仏屯,ふつトン,,読みを入力してください,Text
骨杯,コップ,,読みを入力してください,Text
柴棍,サイゴン,,読みを入力してください,Text
左行,さぎょう,,読みを入力してください,Text
佐行,さぎょう,,読みを入力してください,Text
香欒,ざぼん,,読みを入力してください,Text
舎路,シアトル,,読みを入力してください,Text
輪奈,わな,,読みを入力してください,Text
正油,しょうゆ,,読みを入力してください,Text
切角,せっかく,,読みを入力してください,Text
寿府,"ジュネーブ,ジュネーヴ",,読みを入力してください,Text
強強,ごわごわ,,読みを入力してください,Text
得撒,テキサス,,読みを入力してください,Text
碌々,ろくろく,,読みを入力してください,Text
尼羅,ナイル,,読みを入力してください,Text
紐約,ニューヨーク,,読みを入力してください,Text
馬穴,バケツ,,読みを入力してください,Text
馬尻,バケツ,,読みを入力してください,Text
曼谷,バンコク,,読みを入力してください,Text
盤谷,バンコク,,読みを入力してください,Text
曹達,ソーダ,,読みを入力してください,Text
厨二,ちゅうに,,読みを入力してください,Text
椪柑,ぽんかん,,読みを入力してください,Text
凸柑,ぽんかん,,読みを入力してください,Text
不丹,ブータン,,読みを入力してください,Text
英屯,えいトン,,読みを入力してください,Text
英噸,えいトン,,読みを入力してください,Text
護美箱,ごみばこ,,読みを入力してください,Text
兄者人,あにじゃひと,,読みを入力してください,Text
伊留満,イルマン,,読みを入力してください,Text
由婁漫,イルマン,,読みを入力してください,Text
馬尼剌,マニラ,,読みを入力してください,Text
摩洛哥,モロッコ,,読みを入力してください,Text
虎列刺,コレラ,,読みを入力してください,Text
撒爾沙,さるさ,,読みを入力してください,Text
撒児沙,さるさ,,読みを入力してください,Text
阿乙呉,あいご,,読みを入力してください,Text
黎巴嫩,レバノン,,読みを入力してください,Text
紺四郎,こんしろう,,読みを入力してください,Text
追丁株,おいちょかぶ,,読みを入力してください,Text
毛斯綸,モスリン,,読みを入力してください,Text
莫臥児,モール,,読みを入力してください,Text
和地関,"バチカン,ヴァチカン",,読みを入力してください,Text
巴拉圭,"パラグアイ,パラグァイ,パラグワイ",,読みを入力してください,Text
普魯西,"プロシア,プロシャ",,読みを入力してください,Text
阿部槇,あべまき,,読みを入力してください,Text
阿部槙,あべまき,,読みを入力してください,Text
馬徳里,"マドリード,マドリッド",,読みを入力してください,Text
姉者人,あねじゃひと,,読みを入力してください,Text
提宇子,ダイウス,,読みを入力してください,Text
大宇須,ダイウス,,読みを入力してください,Text
母者人,"ははじゃひと,はわじゃひと",,読みを入力してください,Text
父者人,"ちちじゃひと,ててじゃひと",,読みを入力してください,Text
聖保羅,サンパウロ,,読みを入力してください,Text
不列顛,ブリテン,,読みを入力してください,Text
不列顚,ブリテン,,読みを入力してください,Text
以色列,イスラエル,,読みを入力してください,Text
底野迦,テリアカ,,読みを入力してください,Text
檸檬酒,レモンしゅ,,読みを入力してください,Text
金平糖,コンペイトー,,読みを入力してください,Text
金米糖,コンペイトー,,読みを入力してください,Text
金餅糖,コンペイトー,,読みを入力してください,Text
烏克蘭,ウクライナ,,読みを入力してください,Text
宇克蘭,ウクライナ,,読みを入力してください,Text
宇柳貝,ウルグアイ,,読みを入力してください,Text
宇柳具,ウルグアイ,,読みを入力してください,Text
越幾斯,エキス,,読みを入力してください,Text
厄瓜多,エクアドル,,読みを入力してください,Text
寿語録,すごろく,,読みを入力してください,Text
村時雨,むらしぐれ,,読みを入力してください,Text
加加阿,カカオ,,読みを入力してください,Text
加爾基,カルキ,,読みを入力してください,Text
軽目焼,カルメやき,,読みを入力してください,Text
切死丹,キリシタン,,読みを入力してください,Text
科威都,"クウェート,クウェイト",,読みを入力してください,Text
寿喜焼,すきやき,,読みを入力してください,Text
野方図,のほうず,,読みを入力してください,Text
野放途,のほうず,,読みを入力してください,Text
古加涅,コカイン,,読みを入力してください,Text
撒哈拉,サハラ,,読みを入力してください,Text
寿留女,するめ,,読みを入力してください,Text
四季施,しきせ,,読みを入力してください,Text
雪特尼,シドニー,,読みを入力してください,Text
西伯利,"シベリア,シベリヤ",,読みを入力してください,Text
三鞭酒,"シャンパン,シャンペン",,読みを入力してください,Text
叙利亜,シリア,,読みを入力してください,Text
星嘉坡,シンガポール,,読みを入力してください,Text
牙買加,ジャマイカ,,読みを入力してください,Text
士篤恒,ストックホルム,,読みを入力してください,Text
五真米,ごまめ,,読みを入力してください,Text
木形子,こけし,,読みを入力してください,Text
愛斯蘭,アイスランド,,読みを入力してください,Text
阿爾及,アルジェリア,,読みを入力してください,Text
利比亜,リビア,,読みを入力してください,Text
喜佐古,"きさご, きしゃご",,読みを入力してください,Text
薄野呂,うすのろ,,読みを入力してください,Text
塞爾維,セルビア,,読みを入力してください,Text
蘇維埃,"ソビエト,ソヴィエト",,読みを入力してください,Text
突尼斯,"チュニジア,テュニジア",,読みを入力してください,Text
第希蘭,テヘラン,,読みを入力してください,Text
巴格達,"バグダッド,バグダード",,読みを入力してください,Text
晩香波,バンクーバー,,読みを入力してください,Text
丑満時,うしみつどき,,読みを入力してください,Text
破天連,バテレン,,読みを入力してください,Text
巴奈馬,パナマ,,読みを入力してください,Text
天鵞絨,ビロード,,読みを入力してください,Text
天鵝絨,ビロード,,読みを入力してください,Text
芬蘭土,フィンランド,,読みを入力してください,Text
勃牙利,ブルガリア,,読みを入力してください,Text
摩尼教,マニきょう,,読みを入力してください,Text
末尼教,マニきょう,,読みを入力してください,Text
捏巴爾,ネパール,,読みを入力してください,Text
玻里非,"ボリビア,ボリヴィア",,読みを入力してください,Text
摩納哥,モナコ,,読みを入力してください,Text
幾内亜,ギニア,,読みを入力してください,Text
御目出糖,おめでとう,,読みを入力してください,Text
馬来西亜,マレーシア,,読みを入力してください,Text
沃度丁幾,ヨードチンキ,,読みを入力してください,Text
利比利亜,リベリア,,読みを入力してください,Text
亜皮西尼,アビシニア,,読みを入力してください,Text
伯母者人,おばじゃひと,,読みを入力してください,Text
叔母者人,おばじゃひと,,読みを入力してください,Text
蘇門答剌,スマトラ,,読みを入力してください,Text
耶路撒冷,エルサレム,,読みを入力してください,Text
裏山死刑,うらやましけい,,読みを入力してください,Text
烏剌紐母,ウラニウム,,読みを入力してください,Text
諳厄利亜,アンゲリア,,読みを入力してください,Text
夜露四苦,よろしく,,読みを入力してください,Text
箪笥預金,たんすよきん,,読みを入力してください,Text
